                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0509,                0.86367,                 1.2348,                0.92898,                 0.9362,                0.97859,                0.65732,                 1.1005,                0.65139,                 1.2697,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.0453,                  0.857,                 1.2353,                0.94442,                0.94973,                0.98578,                0.67079,                 1.0873,                0.63038,                 1.2506,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.0376,                0.84197,                  1.217,                0.92345,                0.94001,                0.97864,                0.65269,                 1.1309,                0.64034,                 1.2884,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.0688,                0.86644,                 1.2455,                0.95833,                0.94825,                0.98361,                 0.6633,                 1.1073,                0.62931,                 1.2527,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.0441,                0.86073,                 1.2393,                0.94383,                 0.9387,                0.98166,                0.66832,                 1.0838,                0.64074,                 1.2444,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.0303,                0.83334,                 1.2136,                0.94721,                0.94416,                0.98412,                0.67814,                 1.0731,                0.61561,                 1.2531,             0.00034674,             0.00034674,             0.00034674
                     83,                  1.022,                0.83399,                 1.2223,                0.94784,                0.94588,                0.98166,                0.66574,                 1.0954,                0.62051,                 1.2599,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.0123,                0.83233,                 1.2077,                0.93209,                0.96225,                0.98187,                0.66883,                 1.0801,                0.61938,                 1.2436,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0198,                0.83692,                 1.2107,                 0.9562,                0.97165,                0.98458,                0.67528,                 1.0729,                 0.5982,                 1.2465,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.0002,                 0.8043,                 1.2105,                0.95909,                0.96865,                0.98512,                0.66867,                 1.0845,                0.60248,                 1.2613,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.0128,                0.81213,                  1.217,                0.94881,                0.96432,                0.98723,                0.66272,                 1.0926,                 0.6076,                 1.2573,             0.00026422,             0.00026422,             0.00026422
                     88,                0.99016,                0.83053,                 1.2043,                0.96181,                 0.9391,                0.98082,                0.66697,                 1.0736,                0.61756,                 1.2462,             0.00024772,             0.00024772,             0.00024772
                     89,                0.99861,                0.80638,                 1.1987,                0.93828,                0.95433,                0.98074,                0.67082,                 1.0621,                0.61373,                 1.2366,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.9701,                0.81115,                 1.1915,                0.93986,                0.95282,                0.98357,                0.67276,                 1.0824,                0.61346,                 1.2551,             0.00021471,             0.00021471,             0.00021471
                     91,                0.88368,                 0.6045,                 1.1475,                 0.9219,                0.95633,                0.97804,                0.65907,                  1.085,                0.61857,                 1.2666,             0.00019821,             0.00019821,             0.00019821
                     92,                0.85495,                0.58434,                 1.1191,                0.93553,                 0.9503,                0.97859,                0.67549,                 1.0564,                0.60904,                 1.2384,              0.0001817,              0.0001817,              0.0001817
                     93,                0.82611,                0.55461,                 1.1092,                0.93414,                0.96785,                0.98559,                0.67825,                 1.0556,                0.59988,                 1.2379,              0.0001652,              0.0001652,              0.0001652
                     94,                0.81492,                0.55079,                 1.0985,                0.94929,                0.95256,                0.98364,                0.67758,                 1.0596,                0.58603,                 1.2399,              0.0001487,              0.0001487,              0.0001487
                     95,                0.81446,                0.53672,                 1.0904,                0.96048,                0.94854,                0.98495,                0.68688,                 1.0508,                0.57667,                 1.2388,             0.00013219,             0.00013219,             0.00013219
                     96,                0.80978,                 0.5399,                 1.0997,                0.95664,                0.95037,                0.98481,                0.68711,                 1.0486,                0.57903,                 1.2343,             0.00011569,             0.00011569,             0.00011569
                     97,                0.78854,                0.53428,                 1.0804,                0.96169,                0.95895,                0.98384,                0.68577,                 1.0467,                0.57149,                 1.2391,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.77581,                0.52215,                 1.0732,                0.96422,                0.95027,                0.98392,                 0.6845,                 1.0418,                0.57198,                 1.2318,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.76794,                0.52412,                 1.0699,                0.96438,                0.95576,                0.98295,                0.68455,                  1.042,                0.57017,                 1.2368,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.75821,                0.50897,                 1.0684,                0.96561,                0.95343,                0.98454,                0.68782,                 1.0415,                0.56442,                 1.2386,             4.9677e-05,             4.9677e-05,             4.9677e-05
